USGS Basin,fire_year,fraction_catchment
10260820,1964,0.051021779
10260820,1918,0.007387141
10260820,1918,0.016641146
10260820,1913,0.0039745
10260820,1919,0.045658005
10260820,1921,0.028995308
10260820,1921,0.003557216
10260820,1928,0.021760746
10260820,1928,0.002283672
10260820,1954,0.012818998
10260820,1938,0.00610019
10260820,1980,0.016568864
10260820,1943,0.015034013
10260820,1960,0.000760386
10260820,1953,0.00151795
10260820,1959,0.098829069
10260820,1969,0.080813488
10260820,1993,0.000822337
10260820,2010,0.003066883
10260820,2016,0.030723491
10260865,2007,0.183107633
10260865,2003,0.000707153
10260865,1911,0.563104069
10260865,1938,0.001105018
10261100,2007,9.34E-05
10261100,2007,0.080364968
10261100,2007,0.010118028
10261100,2007,0.002982043
10261100,2007,0.000241131
10261100,2007,0.00038115
10261100,2007,0.094254963
10261100,1923,0.000284892
10261100,1924,0.033230934
10261100,1916,0.00087146
10261100,1929,0.001105324
10261100,1947,0.001365334
10261100,1908,0.000181892
10261100,1908,3.16E-05
10261100,1908,0.000311587
10261100,1941,0.004522177
10261100,2003,0.162685032
10261100,1924,0.003036255
10261100,1931,0.001462392
10261100,1984,0.00100707
10261100,1925,0.002012616
10261100,1910,0.000503593
10261100,1911,0.076107935
10261100,1911,0.000227168
10261100,1914,0.000591962
10261100,1914,0.000467871
10261100,1914,0.000264312
10261100,1914,0.000321404
10261100,1936,0.004649821
10261100,1955,0.019262613
10261100,1964,0.002946801
10261100,1964,0.008938212
10261100,1976,0.008041371
10261100,1976,0.000134223
10261100,1976,0.00042055
10261100,1992,0.004809167
10261100,1927,0.001231105
10261100,1918,0.001294111
10261100,1918,0.002915267
10261100,1913,0.00069627
10261100,1906,0.00184587
10261100,1922,0.024798658
10261100,1919,0.0015647
10261100,1919,0.018268431
10261100,1921,0.005079521
10261100,1921,0.000623168
10261100,1923,0.000386762
10261100,1979,0.000386672
10261100,1979,0.00181969
10261100,1928,0.00381214
10261100,1928,0.000400063
10261100,1990,6.88E-05
10261100,1990,0.000365021
10261100,1990,0.000161718
10261100,1940,0.042538131
10261100,1954,0.002245686
10261100,1938,0.002276898
10261100,1980,0.002902604
10261100,1980,0.002060484
10261100,1943,0.002633722
10261100,1960,0.002517153
10261100,1960,0.000133208
10261100,1951,0.031376764
10261100,1962,0.000301299
10261100,1956,0.017011294
10261100,1975,3.87E-05
10261100,1953,0.000265921
10261100,1953,3.60E-06
10261100,1956,0.000184493
10261100,1956,0.000171333
10261100,1959,0.097572059
10261100,1996,0.000595391
10261100,1996,0.001155939
10261100,1996,0.000572253
10261100,1963,0.000591058
10261100,1974,0.000102438
10261100,1974,0.000100674
10261100,1967,0.000206204
10261100,1967,0.001577196
10261100,1967,0.003377082
10261100,1970,0.016629316
10261100,1978,0.000368742
10261100,1969,0.015304649
10261100,1975,0.005339352
10261100,2001,9.93E-05
10261100,1993,0.00014406
10261100,1984,0.0003736
10261100,1987,0.015209902
10261100,1987,0.002349624
10261100,1988,0.001207825
10261100,1991,0.001757042
10261100,1991,9.91E-05
10261100,1994,0.079447369
10261100,1994,0.01038985
10261100,1994,0.004902407
10261100,1995,0.009375691
10261100,1999,0.28966267
10261100,1974,8.07E-05
10261100,2006,0.020406314
10261100,2006,9.53E-05
10261100,2006,0.000221385
10261100,2010,0.00053727
10261100,2011,0.000442256
10261100,2011,0.000209345
10261100,2011,4.83E-05
10261100,2012,0.000966989
10261100,2012,0.000184608
10261100,2015,2.75E-05
10261100,2016,0.066051262
10263500,1947,0.001015678
10263500,1922,0.004914398
10263500,1906,0.005822289
10263500,1919,0.017865636
10263500,1937,0.000317467
10263500,1939,0.011337153
10263500,2000,0.0026736
10263500,2002,0.054078855
10263500,1953,0.021908547
10263500,1922,0.010982882
10263500,1937,0.000436741
10263500,2012,0.000243766
10263500,2016,0.000223421
10263630,1947,0.00068242
10263630,1922,0.003301919
10263630,1906,0.003911918
10263630,1919,0.012003684
10263630,1937,0.000213302
10263630,1939,0.007617283
10263630,2000,0.001796357
10263630,1978,0.001427397
10263630,2002,0.036334864
10263630,1912,0.003571338
10263630,1953,0.038780797
10263630,1922,0.007379253
10263630,1937,0.00029344
10263630,2012,0.000163783
10263630,2016,0.000150114
10263665,1917,0.012787333
10263665,1953,0.230821348
10263665,2016,0.000980198
10263900,1924,0.02140899
10263900,1898,0.609536521
10263900,2009,0.016356303
10264000,1924,0.075125991
10264000,1916,0.008177337
10264000,1878,0.005975429
10264000,1898,0.00777697
10264000,1946,0.001847471
10264000,1917,0.002144846
10264000,1956,0.000167324
10264000,1995,0.000276409
10264000,1994,0.001883266
10264000,1917,1.18E-05
10264000,1979,0.000608779
10264000,1980,0.003219324
10264000,1925,0.002135198
10264000,1958,0.006544077
10264000,1953,0.700713672
10264000,1922,0.000591511
10264000,2009,0.218063568
10264000,2016,8.48E-05
10264100,1878,0.023533079
10264100,2004,0.119086585
10264100,1956,0.002422577
10264100,1994,0.253525407
10264100,1979,0.025938573
10264100,1958,0.004390684
10264100,1953,0.647938433
10264100,2009,0.492880866
10264530,1977,0.051572812
10264530,1922,0.618701337
10264530,2002,0.618449227
10264530,1922,0.254665414
10264530,2010,0.94095348
10264560,2004,0.445316022
10264560,1927,0.414383003
10264560,1916,0.026607644
10264560,1914,0.022248403
10264560,1915,0.271515259
10264560,1921,0.012363438
10264560,2011,0.002204893
10264590,2007,0.012113553
10264590,1992,0.001914332
10264590,1996,0.206701362
10264590,1995,0.061264737
10264600,2007,0.142488023
10264600,2004,0.000237079
10264600,2009,0.00023014
10264600,2009,0.008059687
10264600,2010,0.000424772
10264600,2011,0.316951611
10264605,2006,0.244372546
10264605,2009,0.013272551
10264605,2011,0.249965936
10264605,2016,0.001174428
10264682,1903,0.00660303
10264682,1966,0.001460402
10264682,1997,0.448757516
10264682,1957,0.000262896
10264682,2015,0.000550755
10264750,2012,0.001638641
10264878,2016,0.001347445
10265150,1966,0.007103458
10265150,1972,0.003333385
10265150,1987,0.013913247
10265150,1987,0.009129934
10265150,1987,0.022131614
10265150,2006,0.000398506
10265150,2008,0.007715123
10265500,2007,0.002198475
10265500,1972,0.000443829
10265500,1966,0.001208567
10265500,2005,6.94E-05
10265500,1986,0.000148381
10265500,1986,7.59E-05
10265500,1972,0.005391956
10265500,1972,0.000567135
10265500,1972,0.002583248
10265500,1972,0.000133758
10265500,1984,0.000100282
10265500,1985,0.000558472
10265500,1985,0.011319152
10265500,1989,0.000283804
10265500,1987,0.002367169
10265500,2001,0.010039553
10265500,1990,0.000205384
10265500,1993,0.002015048
10265500,2003,2.97E-05
10265500,1987,0.001613715
10265500,1987,0.003765424
10265500,2006,6.78E-05
10265500,2008,0.001312634
10265500,2016,0.008915351
10265500,2016,0.02018518
10268000,2007,0.00163954
10268000,1972,0.000330991
10268000,2005,3.22E-05
10268000,1966,0.000901304
10268000,2005,5.17E-05
10268000,1986,0.000110657
10268000,1958,0.000968998
10268000,1986,5.66E-05
10268000,1972,0.004021118
10268000,1972,0.000422948
10268000,1972,0.001926489
10268000,1972,9.98E-05
10268000,1984,7.48E-05
10268000,1974,0.00183974
10268000,1983,0.00087481
10268000,1983,0.000733891
10268000,1985,0.000764476
10268000,1985,0.008441398
10268000,1981,0.008717907
10268000,1989,0.00021165
10268000,1987,0.001765346
10268000,2001,0.007487121
10268000,1990,0.000153168
10268000,1993,0.001502747
10268000,2003,2.22E-05
10268000,2002,0.007034248
10268000,1987,0.001203448
10268000,1987,0.002808112
10268000,2006,5.06E-05
10268000,2008,0.000978913
10268000,2015,0.018039386
10268000,2016,0.006648734
10268000,2016,0.015053347
10268000,2016,0.000340048
10270870,1982,0.002407279
10270872,1982,0.002375751
10270877,1979,0.000325096
10270877,1982,0.001248486
10270877,2009,0.0019676
10270885,1979,0.000161624
10270885,1982,0.000620695
10270885,2008,0.003015081
10270885,2009,0.004340222
10270940,1966,0.001738858
10270940,1979,0.000143135
10270940,1982,0.000549691
10270940,2008,0.002670175
10270940,2009,0.013663554
10270970,1966,0.001261294
10270970,1979,0.000103824
10270970,1982,0.000398723
10270970,2008,0.001936832
10270970,2009,0.009910966
10271200,1966,0.001217189
10271200,1979,0.000100194
10271200,1982,0.00038478
10271200,2008,0.001869104
10271200,2009,0.009564395
10271210,1966,0.001217051
10271210,1979,0.000100182
10271210,1982,0.000384736
